date,day
2019-08-22,1
2019-08-23,2
2019-08-24,3
2019-08-25,4
2019-08-26,5
2019-08-27,6
2019-08-28,7
2019-08-29,8
2019-08-30,9
2019-08-31,10
2019-09-01,11
2019-09-02,12
2019-09-03,13
2019-09-04,14
2019-09-05,15
2019-09-06,16
2019-09-07,17
2019-09-08,18
2019-09-09,19
2019-09-10,20
2019-09-11,21
